Category (required),Title (required),Date (required),Description,Tutorial (How-to),Resource (separate by comma),Related tasks (row number separated by comma),Image
Overall,Designate an email folder,1/1/2015,"Beside this to-do list, most of your communication with your wedding party and professionals happen through emails. Free yourself from the heavy paper folders and you can easily find any wedding details in your inbox later","1. Name folders by service categories
2. Drag emails to different folders
3. Keep updated with things",,,http://weddinginvitations21.com/wp-content/uploads/2011/03/Send-Wedding-Invitations-Through-Email-1.jpg
Overall,Decide on city and season.,1/1/2015,The first question everyone will ask you when they hear you're engaged is where and when is the wedding. So talk it out: destination wedding or someplace local? Fall or spring?,"1. Take the weather into account.
2. Consider all the factors of an off-season date.
3. Lead the date selection process by creating a list of what you envision for your wedding day.
4. Think twice before getting married on a major holiday.
5. Focus on what you want your wedding day to be and how to portray that in a date.
6. Give yourself plenty of time and don't rush it!
7. Think about other aspects of your wedding and how they will all play out.",http://www.huffingtonpost.com/2014/02/10/wedding-date-planning-_n_4746723.html," 7,9,27,28",http://i.huffpost.com/gen/1609387/thumbs/o-BG3-570.jpg?6
Overall,Choose wedding party,1/1/2015,"Now it's time to start choosing your wedding party (groan...). In theory, this should be an exciting task -- a chance to round up your very favorite people to surround you on the happiest day of your life. But the reality is, you can't choose everyone, and between your siblings, your cousins, your childhood friends, your high school besties and your college roommates, you're going to need to make some cuts. So how do you narrow it down to the right handful of people -- the ones that will make things easy and fun, not the ones who will stress you out and wear you down?","DO wait to ask until you've set your wedding date. If you get engaged today but wait 18 months to get married, your inner circle might change. I'm not saying you won't still be tight with, say, your college roommate, but adding bridesmaids is a lot more fun then demoting them, so I'd hold out on asking 'til you're sure of who you'll want in the V.I.P. spots when your wedding day rolls around.

DON'T feel like you have to include all the siblings. (Or give them the ""biggest"" roles.) Having the same parents and once sharing a bedroom makes your sister, well, your sister. It doesn't automatically make her your maid of honor. By all means, ask your sister to be your MoH if you're close. But don't feel like you have to ask her if all you have in common is DNA. And definitely don't feel like you have to ask your groom's sister to be a bridesmaid. Which brings me to ...

DO have ""bridesmen"" and ""groomsgirls""! If you're close with your brother, that's great. But asking him to stand up as a groomsmen feels weird—unless he he happens to be close with your guy, too. If you'd like to give your bro an important role, I think ""bridesman"" or ""man of honor"" is more appropriate.

DON'T feel like you have to have the same number of bridesmaids and groomsmen. I just don't get some brides' obsession with having even numbers. You can shuffle the way people walk up the aisle (two bridesmaids to a groomsman or vice versa), or stand during the ceremony. And you can skip the ""wedding party join in!"" portion of your first dance—which I always found a little awkward as a bridesmaid, anyway!

DO redefine the roles. A ""maid of honor"" and ""matron of honor"" is great—unless you have two best friends and neither (or both) is married. If you want to have two ""maids"" or two ""matrons"" or no one ""of honor,"" just four equally ranked bridesmaids, do what works for you.


DON'T ask a friend just because you were in her wedding. Your friend didn't ask you to be in her wedding because she hopes to be in yours—whenever that might happen. You might want to include more family members or just keep your wedding party small. Whatever the reason, don't assume your friend (especially one you've grown apart from) expects to be in your wedding. Or wants to, for that matter.",http://www.glamour.com/weddings/blogs/save-the-date/2012/02/6-dos-and-donts-that-will-hope,"15,19,20,41,42",http://www.fotavo.com/photos/phototmv57MZOa9p3RrEzDlJu6Wsodgf4PBj1HKcQky0x
Overall,Research wedding planners.,1/1/2015,"It's not required but consider hiring one if you: want a destination wedding, have a busy job, or like the idea of a third person (expert) opinion. Sound like you? Research and set up interviews.","1. “How do you communicate with clients?”
2. “How many clients do you have in a year, and in my wedding month?”
3. “Do you work alone or with a team?”
4. “What happens in the case of an emergency?”
5. “What additional fees do I need to know about?”",http://www.huffingtonpost.com/2012/06/14/wedding-planning_n_1597953.html,"6,15",http://michellewein.files.wordpress.com/2012/04/wedding20planner.jpg
Overall,Hire your wedding planner.,2/1/2015,"Finish interviewing your top picks, and then make a decision. Your planner's personality and how well you work together should be key. Once you decide, sign the contract and put down a deposit.","1. Review contract and timeline
2. Insurance coverage
3. Rehearsal and other parties",What's the difference between a venue coordinator and event coordinator?,15,http://michellewein.files.wordpress.com/2012/04/wedding20planner.jpg
Overall,Decide on a budget.,2/1/2015,"Talk about who will pay for what. You might cover the entire thing or maybe your families will each commit a dollar amount. Just whatever you do, don't spend one dollar until you have a budget.","A sample budget breakdown: 
Reception (Food, Beverages, Rentals, and Site) 40% 
Flowers 5-10%
Photography/Videography 15% 
Bride's and Groom's attire 10%
Music 5%
Planner or Coordinator 10-15%
Miscellaneous (Invitations, Officiant Fees, Favors, Etc.) 10%
Cushion 5%",http://jennlanedesign.com/wedding-budget-calculator.php    http://www.brides.com/wedding-answers-tools/wedding-timeline-budget,,http://thepeachpost.files.wordpress.com/2013/01/budget.jpg
Overall,Decide on wedding colors/theme,2/1/2015,Romantic wedding? Think pastels and neutrals. A high-energy party? Go bold. Save your favorite colors to your planner so that we can start showing you more photos that match your palette.,"1.Use your favorite shade. You’ve been in love with pale lavender since the first grade, so this is a good place to begin – with what you love. You can tastefully incorporate any color into your wedding decorations by selecting the right hue, and combining it with the right accents.
2.Consider the setting. Look at the colors used in your venue’s carpeting, drapery and decorations. If the site has strong colors, you’ll need to select a color scheme that complements. If you already have your heart set on a certain color, you may need to select a more neutrally decorated site but this needs to be sorted out very early on or you may miss out on a good location! However, keep an open mind about colors until you've chosen the venue, because the setting may well suggest the color scheme for you.
3.Be prepared to have two different/distinct color themes if your church or wedding building and reception venue are very different in tone. In general, it is probable that you will have more leeway to use colors with the reception than where the wedding ceremony itself is held. However, you can still carry the color theme in clothing and flowers from the place of marriage to the reception, even if you can't decorate the church, town hall, or register office as much as you'd like.
4.Enlist your favorite bloom. If sunflowers are your thing, there’s no reason why they shouldn’t make it into your décor scheme. Incorporate your predominant flower color – either making it the dominant shade or using it as an accent – and it will all come together.
","www.fotavo.com/homepage, http://wedding.theknot.com/wedding-themes.aspx,http://www.magnetstreet.com/wedding-style-quiz","28,40,90",http://www.fotavo.com/photos/photoxhpd4mHnoEXU5QwVOgNR6v9jSCJLbFraT0fY1KtG
Overall,Pick the date,3/1/2015,Choose a date both practical and personal.,"1. Check with the top-tier guests
2. Check with venues and your most important service professionals
3. Double check the no-no days, i.e. the weekend before tax day",http://www.weddingpartyapp.com/blog/2014/01/02/5-tips-choosing-wedding-theme-real-bride/,"29,30,61,66",http://www.fotavo.com/photos/photovBF0lOUNi7LQosdMe84ECwu2t5f9PrVgHSc6DAZk
Overall,Annouce your wedding,4/1/2015,"Decide whether you want to send a photo and announcement to your hometown paper. You could also reinvent the idea and make a cute video to share with friends and family. Whether you had a destination wedding, a small wedding, or you have family and friends who do not live near you, it is likely that some people you know couldn't be on your guest list.",,"http://www.nytimes.com/ref/fashion/weddings/howtosubmitwedding.html,",,http://2.bp.blogspot.com/-76T8mQnKOgo/Too4FG4XoNI/AAAAAAAABAs/NdUBf2y4rUQ/s1600/Wedding+Announcements+For+People+In+love+014.JPG
Overall,Decide on your plan B,6/1/2015,Have a “Plan B” for every outdoor event.,"1. Check cancellation policy with tent rental company
2. Estimate the quatity of tents",,,
